"slug","brand","identifier","status","detail"
"silicone-phone-case","Silicone","Silicone Silicone Phone Case","miss","HTTP 404"
"sony-50-4k-google-tv-x75l","Google","Google ""50"""" 4K Google TV X75L""","miss","HTTP 404"
"sony-bravia-55-x80l","Sony","Sony ""BRAVIA 55"""" X80L""","miss","HTTP 404"
"sony-bravia-9-65","Sony","Sony ""BRAVIA 9 65""""""","miss","HTTP 404"
"sony-ult-wear","Sony","Sony ULT Wear","miss","HTTP 404"
"sony-wf-1000xm5","Sony","Sony WF-1000XM5","miss","HTTP 404"
"sony-wf-c710n","Sony","Sony WF-C710N","miss","HTTP 404"
"sony-wh-1000xm6","Sony","Sony WH-1000XM6","miss","HTTP 404"
"spigen-liquid-air-case","Spigen","Spigen Spigen Liquid Air Case","miss","HTTP 404"
"spigen-tough-armor-case","Spigen","Spigen Spigen Tough Armor Case","miss","HTTP 404"
"tcl-215l-double-door-fridge","TCL","TCL 215L Double Door Fridge","miss","HTTP 404"
"tcl-43-qled-google-tv","Google","Google ""43"""" QLED Google TV""","miss","HTTP 404"
"tcl-55-4k-google-tv","Google","Google ""55"""" 4K Google TV""","miss","HTTP 404"
"tcl-65-qled-4k-google-tv","Google","Google ""65"""" QLED 4K Google TV""","miss","HTTP 404"
"tcl-8kg-front-load-washer","TCL","TCL 8kg Front Load Washer","miss","HTTP 404"
"tecno-camon-30","Tecno","Tecno Camon 30","miss","HTTP 404"
"tecno-camon-30-pro-5g","Tecno","Tecno Camon 30 Pro 5G","miss","HTTP 404"
"tecno-camon-40","Tecno","Tecno Camon 40","miss","HTTP 404"
"tecno-camon-40-pro-5g","Tecno","Tecno Camon 40 Pro 5G","miss","HTTP 404"
"tecno-phantom-v-flip2-5g","Tecno","Tecno Phantom V Flip2 5G","miss","HTTP 404"
"tecno-phantom-v-fold2-5g","Tecno","Tecno Phantom V Fold2 5G","miss","HTTP 404"
"tecno-pova-6-pro-5g","Tecno","Tecno Pova 6 Pro 5G","miss","HTTP 404"
"tecno-pova-7-pro-5g","Tecno","Tecno Pova 7 Pro 5G","miss","HTTP 404"
"tecno-spark-30","Tecno","Tecno Spark 30","miss","HTTP 404"
"tecno-spark-30-pro","Tecno","Tecno Spark 30 Pro","miss","HTTP 404"
"tecno-spark-40","Tecno","Tecno Spark 40","miss","HTTP 404"
"tecno-spark-40-pro-plus","Tecno","Tecno Spark 40 Pro+","miss","HTTP 404"
"ugreen-100w-gan-4-port-charger","UGREEN","UGREEN 100W GaN 4-port Charger","miss","HTTP 404"
"ugreen-145w-25000mah-powerbank","UGREEN","UGREEN 145W 25000mAh Powerbank","miss","HTTP 404"
"ugreen-usb-c-to-c-240w-cable","UGREEN","UGREEN USB-C to C 240W Cable","miss","HTTP 404"
"vitron-32-hd-smart-tv","Vitron","Vitron ""Vitron 32"""" HD Smart TV""","miss","HTTP 404"
"vitron-43-fhd-smart-tv","Vitron","Vitron ""Vitron 43"""" FHD Smart TV""","miss","HTTP 404"
"vivo-v40","Vivo","Vivo V40","miss","HTTP 404"
"vivo-v50","Vivo","Vivo V50","miss","HTTP 404"
"vivo-x-fold5","Vivo","Vivo X Fold5","miss","HTTP 404"
"vivo-x200","Vivo","Vivo X200","miss","HTTP 404"
"vivo-x200-fe","Vivo","Vivo X200 FE","miss","HTTP 404"
"vivo-x200-pro","Vivo","Vivo X200 Pro","miss","HTTP 404"
"vivo-y19s","Vivo","Vivo Y19s","miss","HTTP 404"
"vivo-y29-5g","Vivo","Vivo Y29 5G","miss","HTTP 404"
"von-10kg-top-load-washer","Von","Von Von 10kg Top Load Washer","miss","HTTP 404"
"von-175l-double-door-fridge","Von","Von Von 175L Double Door Fridge","miss","HTTP 404"
"von-32-hd-digital-tv","Von","Von ""Von 32"""" HD Digital TV""","miss","HTTP 404"
"von-43-fhd-smart-tv","Von","Von ""Von 43"""" FHD Smart TV""","miss","HTTP 404"
"von-7kg-top-load-washer","Von","Von Von 7kg Top Load Washer","miss","HTTP 404"
"von-92l-single-door-fridge","Von","Von Von 92L Single Door Fridge","miss","HTTP 404"
"xiaomi-15","Xiaomi","Xiaomi 15","miss","HTTP 404"
"xiaomi-15-ultra","Xiaomi","Xiaomi 15 Ultra","miss","HTTP 404"
"xiaomi-16","Xiaomi","Xiaomi 16","miss","HTTP 404"
"xiaomi-16-pro","Xiaomi","Xiaomi 16 Pro","miss","HTTP 404"
"xiaomi-20000mah-50w-powerbank","Xiaomi","Xiaomi 20000mAh 50W Powerbank","miss","HTTP 404"
"xiaomi-pad-6","Xiaomi","Xiaomi Pad 6","miss","HTTP 404"
"xiaomi-pad-7","Xiaomi","Xiaomi Pad 7","miss","HTTP 404"
"xiaomi-pad-7-pro","Xiaomi","Xiaomi Pad 7 Pro","miss","HTTP 404"
"xiaomi-poco-c75","Xiaomi","Xiaomi Poco C75","miss","HTTP 404"
"xiaomi-poco-f7","Xiaomi","Xiaomi Poco F7","miss","HTTP 404"
"xiaomi-poco-x7-pro","Xiaomi","Xiaomi Poco X7 Pro","miss","HTTP 404"
"xiaomi-redmi-14c","Xiaomi","Xiaomi Redmi 14C","miss","HTTP 404"
"xiaomi-redmi-15","Xiaomi","Xiaomi Redmi 15","miss","HTTP 404"
"xiaomi-redmi-buds-6","Xiaomi","Xiaomi Redmi Buds 6","miss","HTTP 404"
"xiaomi-redmi-note-13-pro","Xiaomi","Xiaomi Redmi Note 13 Pro","miss","HTTP 404"
"xiaomi-redmi-note-14","Xiaomi","Xiaomi Redmi Note 14","miss","HTTP 404"
"xiaomi-redmi-note-14-pro","Xiaomi","Xiaomi Redmi Note 14 Pro","miss","HTTP 404"
"xiaomi-redmi-note-14-pro-plus-5g","Xiaomi","Xiaomi Redmi Note 14 Pro+ 5G","miss","HTTP 404"
"xiaomi-redmi-note-15-pro","Xiaomi","Xiaomi Redmi Note 15 Pro","miss","HTTP 404"
"xiaomi-redmi-pad-pro","Xiaomi","Xiaomi Redmi Pad Pro","miss","HTTP 404"
"xiaomi-watch-s4","Xiaomi","Xiaomi Watch S4","miss","HTTP 404"
"zte-axon-60-ultra","ZTE","ZTE Axon 60 Ultra","miss","HTTP 404"
"zte-blade-v70","ZTE","ZTE Blade V70","miss","HTTP 404"
"zte-nubia-flip-2","ZTE","ZTE nubia Flip 2","miss","HTTP 404"
"zte-nubia-neo-3-5g","ZTE","ZTE nubia Neo 3 5G","miss","HTTP 404"
"zte-nubia-red-magic-10-pro","ZTE","ZTE nubia Red Magic 10 Pro","miss","HTTP 404"
"zte-nubia-z70-ultra","ZTE","ZTE nubia Z70 Ultra","miss","HTTP 404"
